id,Primary Text,Guidance,isHeading,parentBinding,module,Artifact Type
2946,Security,"The stakeholder must describe the consequences of breaches of security, so that the developers can fully appreciate the criticality of each function","","","",Heading
2761,Applicable Documents,"<List any other documents that are applicable. In particular, the stakeholder and system requirements that must be satisfied. Include references to any other source data used in this trade study.>","","","",Heading
2986,Replace Text,"","","","",Information
2872,Replace Text,"","","","",System Requirement
2989,Replace Text,"","","","",System Requirement
2837,References,"List any other documents or Web addresses to which this SRS refers. These may include user interface style guides, contracts, standards, system requirements specifications, use case documents, or a vision and scope document. Provide enough information so that the reader could access a copy of each reference, including title, author, version number, date, and source or location.","","","",Heading
3082,Compatibility with Accessories/Auxiliary Devices,"","","","",Heading
2846,Replace Text,"","","","",Information
2796,Replace Text,"","","","",System Requirement
2882,User Classes and Characteristics,"Identify the various user classes that you anticipate will use this product. User classes may be differentiated based on frequency of use, subset of product functions used, technical expertise, security or privilege levels, educational level, or experience. Describe the pertinent characteristics of each user class. Certain requirements may pertain only to certain user classes. Distinguish the favored user classes from those who are less important to satisfy. This section is not needed in all cases, for example if a subsystem has no users and is entirely internal to a larger system.","","","",Heading
3034,Stakeholder 1 Name,"","","","",Stakeholder Definition
2926,Replace Text,"","","","",System Requirement
2910,Fluid Ingress,"","","","",Heading
3017,Replace Text,"","","","",Information
3018,<Replace text>,"","","","",Information
2880,Replace Text,"","","","",System Requirement
2975,"","","","","",Trade Study Assessment Criterion
2895,Replace Text,"","","","",Stakeholder Requirement
3049,Software interfaces,"","","","",Heading
3042,Conclusions for <Key System Function #1>,Summarize the findings of the trade study for this key system function,"","","",Heading
2990,Replace Text,"","","","",System Requirement
2742,Replace Text,"","","","",Stakeholder Requirement
2843,<Replace text>,"","","","",Information
3052,Statutory and Regulatory Requirements,"","","","",Heading
2987,Replace Text,"","","","",Information
3093,Electromagnetic Compatibility (EMC),"","","","",Heading
2858,Need 1,"","","","",Heading
2774,Function Description,Provide a short description of the function.,"","","",Heading
2820,Stakeholder 2 Name,"","","","",Stakeholder Definition
2920,Introduction,"","","","",Heading
2758,Stakeholder n Name,"","","","",Stakeholder Definition
2999,Weighted MoE,"","","","",Trade Study Assessment Criterion
3029,General Description,"","","","",Heading
2866,Replace Text,"","","","",System Requirement
2852,Replace Text,"","","","",Stakeholder Requirement
2984,Scope,< Describe the scope of this Trade Study Report. Which system is being defined? What will and will not be considered?>,"","","",Heading
3030,Replace Text,"","","","",Information
2967,Operational Requirements,We have provided a typical set of sections. The structure and content of this section should be amended as necessary,"","","",Heading
3025,Replace Text,"","","","",System Requirement
2751,FMEA Scales,"Use these scales to assign weights, in the range 0-1, in accordance with your practices for FMECA.","","","",Heading
2854,User Environment,"[Detail the working environment of the target user. Here are some suggestions:
Number of people involved in completing the task? Is this changing?
How long is a task cycle?
Amount of time spent in each activity? Is this changing?

Any unique environmental constraints: mobile, outdoors, in-flight, and so on?
Which system platforms are in use today? Future platforms?

What other applications are in use? Does your application need to integrate with them?

This is where extracts from the Business Model could be included to outline the task and roles involved, and so on.]","","","",Heading
2840,<Replace text>,"","","","",Information
3006,Replace Text,"","","","",Information
2942,Replace Text,"","","","",Stakeholder Requirement
2963,Nonfunctional Requirements,We have provided a typical set of sections. The structure and content of this section should be amended as necessary,"","","",Heading
2932,Replace Text,"","","","",System Requirement
3069,Replace Text,"","","","",System Requirement
3040,Solution Candidate #1,"","","","",Trade Study Assessment Criterion
2933,Replace Text,"","","","",System Requirement
2829,Project Scope,"Provide a short description of the system (or subsystem) being specified and its purpose, including relevant benefits, objectives, and goals. If a separate stakeholder requirements document is available, refer to it rather than duplicating its contents here.","","","",Heading
2779,Sterility,"","","","",Heading
2870,User Documentation,"List the user documentation components (such as user manuals, on-line help, and tutorials) that will be delivered along with the software. Identify any known user documentation delivery formats or standards.","","","",Heading
2786,Trade Study Results for <Key System Function #1>,Summarize the results into the table.,"","","",Heading
2988,Functional Requirements,"Itemize the detailed functional requirements associated with this function. These are the software capabilities that must be present in order for the user to carry out the services, or to execute the use case. Include how the product should respond to anticipated error conditions or invalid inputs. Requirements should be concise, complete, unambiguous, verifiable, and necessary. Use “TBD” as a placeholder to indicate when necessary information is not yet available.","","","",Heading
2881,Performance Characteristics,"","","","",Heading
3041,Replace Text,"","","","",System Requirement
2883,Feature Nn,"","","","",Vision Statement
3001,Replace Text,"","","","",System Requirement
2943,Interfaces,"Constraint requirements that relate to interfaces should be grouped, for example as in the following sections.
If the software is part of a larger system then any documents (e.g. ICDs) that describe the interfaces should be identified.","","","",Heading
2785,Weighted MoE,"","","","",Trade Study Assessment Criterion
2875,Replace Text,"","","","",System Requirement
3099,Replace Text,"","","","",System Requirement
3022,Human Factors,"","","","",Heading
3076,Replace Text,"","","","",Information
2850,Replace Text,"","","","",System Requirement
3027,Human Factors,"","","","",Heading
3009,Product Perspective,"[This subsection of the Vision document puts the product in perspective to other related products and the user’s environment. If the product is independent and totally self-contained, state it here. If the product is a component of a larger system, then this subsection needs to relate how these systems interact and needs to identify the relevant interfaces between the systems. One easy way to display the major components of the larger system, interconnections, and external interfaces is with a block diagram.]","","","",Heading
3078,General Constraints,"This section should describe any items that will limit the developer’s options for building the software.
This section should not be used to impose specific requirements or specific design constraints, but should state the reasons why certain requirements or constraints exist.","","","",Heading
2925,Other Product Requirements,"[At a high level, list applicable standards, hardware, or platform requirements; performance requirements; and environmental requirements.

Define the quality ranges for performance, robustness, fault tolerance, usability, and similar characteristics that are not captured in the Feature Set.

Note any design constraints, external constraints, or other dependencies.

Define any specific documentation requirements, including user manuals, online help, installation, labeling, and packaging requirements.

Define the priority of these other product requirements. Include, if useful, attributes such as stability, benefit, effort, and risk.]","","","",Heading
3023,<Replace text>,"","","","",Information
3098,Replace Text,"","","","",Information
2817,Product perspective,"This section puts the product into perspective with other related systems. If the product is to replace an existing system, the system should be described and referenced. Ancestors of the product that are no longer in use might be mentioned. If the product is ‘standalone’, it should be stated here.","","","",Heading
2788,"","","","","",FMEA - Object
3047,Replace Text,"","","","",System Requirement
2884,"","","","","",FMEA - Object
2762,Replace Text,"","","","",Stakeholder Requirement
3103,"","","","","",FMEA - Object
3038,Replace Text,"","","","",System Requirement
2787,Security Requirements,Specify any requirements regarding security or privacy issues surrounding use of the product or protection of the data used or created by the product. Define any user identity authentication requirements. Refer to any external policies or regulations containing security issues that affect the product. Define any security or privacy certifications that must be satisfied.,"","","",Heading
2802,Replace Text,"","","","",Stakeholder Requirement
2947,User Documentation,"List the user documentation components (such as user manuals, on-line help, and tutorials) that will be delivered along with the software. Identify any known user documentation delivery formats or standards.","","","",Heading
2906,<Replace text>,"","","","",Information
2974,Introduction,"","","","",Heading
2759,Assumptions and Dependencies,"[List each factor that affects the features stated in the Vision document. List assumptions that, if changed, will alter the Vision document. For example, an assumption may state that a specific operating system will be available for the hardware designated for the software product. If the operating system is not available, the Vision document will need to change.]","","","",Heading
2841,User Environment Requirement 1,"","","","",Vision Statement
2810,Needs and Features,[Avoid design. Keep feature descriptions at a general level. Focus on capabilities needed and why (not how) they should be implemented.],"","","",Heading
2851,Replace Text,"","","","",System Requirement
2793,Solution Candidate #1,<Replace the heading with the name of the solution candidate. Describe the solution candidate. Provide source data (i.e. nominal values for each assessment criterion) either directly in this document or by reference. Copy/paste this section as required to add additional solution candidates as required.>,"","","",Heading
2828,Replace Text,"","","","",System Requirement
2754,Replace Text,"","","","",Information
2835,Validation Requirements,"","","","",Heading
3014,Operating Environment,"Describe the environment in which the system will operate, including other systems with which the system must interoperate as well as environmental conditions that the system will experience.","","","",Heading
2978,Replace Text,"","","","",System Requirement
2868,"","","","","",FMEA - Object
2912,Relation to Current Products,"","","","",Heading
3007,Maintainability Requirements,"","","","",Heading
3058,Any of the individuals or groups who have an interest in the system under development,"","","","",Glossary Term
2763,Replace Text,"","","","",Information
2795,Availability,"The stakeholder must describe the consequences of losses of availability, so that the developers can fully appreciate the criticality of each function","","","",Heading
3060,Operational Requirements,We have provided a typical set of sections. The structure and content of this section should be amended as necessary,"","","",Heading
2889,"The problem of
[describe the problem]
affects
[the {LINK id=3058 title=""stakeholder"" uri=https://localhost:9443/rm/resources/TX_mDqY8As2Ee2X-pE_BaAiIA}s affected by the problem]
the impact of which is
[what is the impact of the problem?]
a successful solution would be
[list some key benefits of a successful solution]","","","","",Vision Statement
2921,<Assessment Criterion #1>,"Replace the heading with the name of the assessment criterion. Describe the criterion. Copy/paste this section and child sections to add assessment criteria as required.
Specify the relative weight for this assessment criterion in the ""Weight"" attribute. The sum of all criteria weights should be unity (1.0)
In the ""Utility curve"" attribute, describe the utility curve that will be used to convert a nominal value for each solution candidate to a normalized Measure of Effectiveness (MoE). This curve should be described in the form of points, each defined as <criterion value, utility>, where utility is in the range [0.0, 1.0]","","","",Heading
2996,Documentation Requirements,"","","","",Heading
2994,Occurrence Scale,"","","","",Heading
3091,Replace Text,"","","","",System Requirement
3075,Replace Text,"","","","",System Requirement
2727,Portability,The stakeholder must describe the needs for portability of the system,"","","",Heading
3062,Functional Requirements,"This template illustrates organizing the functional requirements for the product by system functions, the major services provided by the product. You may prefer to organize this section by use case, mode of operation, user class, object class, functional hierarchy, or combinations of these, whatever makes the most logical sense for your product.","","","",Heading
2998,Replace Text,"","","","",Information
2944,Purpose,"Identify the product whose requirements are specified in this document, including the revision or release number. Describe the scope of the product that is covered by this SRS, particularly if this SRS describes only part of the system or a single subsystem.","","","",Heading
2919,General Description,This chapter should describe the general factors that affect the product and its requirements. This chapter does not state specific requirements but makes those requirements easier to understand.,"","","",Heading
2980,Replace Text,"","","","",Stakeholder Requirement
3083,Feature 1n,"","","","",Vision Statement
2914,Function Description,Provide a short description of the function.,"","","",Heading
2899,Replace Text,"","","","",Stakeholder Requirement
3016,Replace Text,"","","","",Information
2771,Compatibility with Accessories/Auxiliary Devices,"","","","",Heading
2813,Replace Text,"","","","",Stakeholder Requirement
3072,Overview of the Document,"","","","",Heading
2808,Replace Text,"","","","",Information
2901,"","","","","",FMEA - Object
2744,System approvals and standards,"","","","",Heading
2936,Replace Text,"","","","",Information
