id,Primary Text,Stakeholder Description,Responsibilities,isHeading,parentBinding,module,Artifact Type
2946,Security,"","","","","",Heading
2761,Applicable Documents,"","","","","",Heading
2837,References,"","","","","",Heading
3082,Compatibility with Accessories/Auxiliary Devices,"","","","","",Heading
2882,User Classes and Characteristics,"","","","","",Heading
3034,Stakeholder 1 Name,"","","","","",Stakeholder Definition
2910,Fluid Ingress,"","","","","",Heading
3049,Software interfaces,"","","","","",Heading
3042,Conclusions for <Key System Function #1>,"","","","","",Heading
3052,Statutory and Regulatory Requirements,"","","","","",Heading
3093,Electromagnetic Compatibility (EMC),"","","","","",Heading
2858,Need 1,"","","","","",Heading
2774,Function Description,"","","","","",Heading
2820,Stakeholder 2 Name,"","","","","",Stakeholder Definition
2920,Introduction,"","","","","",Heading
2758,Stakeholder n Name,"","","","","",Stakeholder Definition
3029,General Description,"","","","","",Heading
2984,Scope,"","","","","",Heading
2967,Operational Requirements,"","","","","",Heading
2751,FMEA Scales,"","","","","",Heading
2854,User Environment,"","","","","",Heading
2963,Nonfunctional Requirements,"","","","","",Heading
2829,Project Scope,"","","","","",Heading
2779,Sterility,"","","","","",Heading
2870,User Documentation,"","","","","",Heading
2786,Trade Study Results for <Key System Function #1>,"","","","","",Heading
2988,Functional Requirements,"","","","","",Heading
2881,Performance Characteristics,"","","","","",Heading
2943,Interfaces,"","","","","",Heading
3022,Human Factors,"","","","","",Heading
3027,Human Factors,"","","","","",Heading
3009,Product Perspective,"","","","","",Heading
3078,General Constraints,"","","","","",Heading
2925,Other Product Requirements,"","","","","",Heading
2817,Product perspective,"","","","","",Heading
2787,Security Requirements,"","","","","",Heading
2947,User Documentation,"","","","","",Heading
2974,Introduction,"","","","","",Heading
2759,Assumptions and Dependencies,"","","","","",Heading
2810,Needs and Features,"","","","","",Heading
2793,Solution Candidate #1,"","","","","",Heading
2835,Validation Requirements,"","","","","",Heading
3014,Operating Environment,"","","","","",Heading
2912,Relation to Current Products,"","","","","",Heading
3007,Maintainability Requirements,"","","","","",Heading
2795,Availability,"","","","","",Heading
3060,Operational Requirements,"","","","","",Heading
2921,<Assessment Criterion #1>,"","","","","",Heading
2996,Documentation Requirements,"","","","","",Heading
2994,Occurrence Scale,"","","","","",Heading
2727,Portability,"","","","","",Heading
3062,Functional Requirements,"","","","","",Heading
2944,Purpose,"","","","","",Heading
2919,General Description,"","","","","",Heading
2914,Function Description,"","","","","",Heading
2771,Compatibility with Accessories/Auxiliary Devices,"","","","","",Heading
3072,Overview of the Document,"","","","","",Heading
2744,System approvals and standards,"","","","","",Heading
2958,Introduction,"","","","","",Heading
3067,Specific requirements,"","","","","",Heading
2876,Trade Study Data,"","","","","",Heading
2838,"Definitions Acronyms, and Abbreviations","","","","","",Heading
3015,User/Patient/Clinical Needs,"","","","","",Heading
3008,Solution Candidates,"","","","","",Heading
2752,Safety Requirements,"","","","","",Heading
3002,Portability Requirements,"","","","","",Heading
3012,Physical/Chemical Characteristics,"","","","","",Heading
3003,Project Scope,"","","","","",Heading
2797,Resource Requirements,"","","","","",Heading
2871,Human-computer interactions (user interfaces),"","","","","",Heading
2770,S,"","","","","",Heading
3043,Intended Use,"","","","","",Heading
2805,Quality Requirements,"","","","","",Heading
2971,Physical/Chemical Characteristics,"","","","","",Heading
3081,Interface Requirements,"","","","","",Heading
2728,Relation to Current Products,"","","","","",Heading
2909,Capability Requirements,"","","","","",Heading
3055,Acceptance Testing Requirements,"","","","","",Heading
3013,"Definitions Acronyms, and Abbreviations","","","","","",Heading
3035,External Operating Environment,"","","","","",Heading
2848,Internal Architecture,"","","","","",Heading
2773,Product Position Statement,"","","","","",Heading
2894,Compatibility with Environment of Intended Use,"","","","","",Heading
2731,References,"","","","","",Heading
2952,Probability of Detection,"","","","","",Heading
2734,Functional Requirements,"","","","","",Heading
2977,Product Features,"","","","","",Heading
3059,Purpose,"","","","","",Heading
2809,Nonfunctional Requirements,"","","","","",Heading
2869,System approvals and standards,"","","","","",Heading
2746,Overall Description,"","","","","",Heading
2726,General Capabilities,"","","","","",Heading
2747,Positioning,"","","","","",Heading
2768,User Classes and Characteristics,"","","","","",Heading
2766,Acceptance Testing Requirements,"","","","","",Heading
2969,Operational Scenarios,"","","","","",Heading
2791,User Acceptance Testing Requirements,"","","","","",Heading
3037,Risks,"","","","","",Heading
2807,Documentation Requirements,"","","","","",Heading
2827,Resource Requirements,"","","","","",Heading
2736,General Description,"","","","","",Heading
2849,Assessment Criteria,"","","","","",Heading
2997,User Characteristics,"","","","","",Heading
3005,"Definitions Acronyms, and Abbreviations","","","","","",Heading
2961,User End States,"","","","","",Heading
2937,Verification Requirements,"","","","","",Heading
2966,Reliability Requirements,"","","","","",Heading
3068,Trade Study Recommendations,"","","","","",Heading
2823,Relationship to Predecessor and Successor Products,"","","","","",Heading
2815,Document Conventions,"","","","","",Heading
2887,Product Description,"","","","","",Heading
3004,Labeling/Packaging,"","","","","",Heading
2904,Product Features,"","","","","",Heading
